major_name,major_description,university_name,country,university_score,major_name_vi,major_description_vi
Google Cybersecurity," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",google,Unknown,62.39938193343899,An ninh mạng của Google,"An ninh mạng, Lập trình Python, Linux, Điện toán đám mây, Thuật toán, Kiểm tra, Lập trình máy tính, Quản lý sự cố bảo mật máy tính, Mật mã, Cơ sở dữ liệu, Lãnh đạo và quản lý, Kiến trúc mạng, Quản lý rủi ro, SQL"
Google Data Analytics," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",google,Unknown,62.39938193343899,Phân tích dữ liệu của Google,"Phân tích dữ liệu, Lập trình R, SQL, Giao tiếp kinh doanh, Phần mềm bảng tính, Phân tích kinh doanh, Trực quan hóa dữ liệu, Quản lý dữ liệu, Thống kê chung, Dữ liệu lớn, Giao tiếp, Lập trình máy tính, Khoa học dữ liệu, Phần mềm trực quan hóa dữ liệu, Cơ sở dữ liệu, Phân tích dữ liệu khám phá, Trích xuất, Chuyển đổi, Tải, Lãnh đạo và Quản lý, Microsoft Excel, Giải quyết vấn đề, Dữ liệu nhỏ, Lập trình thống kê, Phần mềm Tableau"
Google Project Management:," Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",google,Unknown,62.39938193343899,Quản lý dự án Google:,"Quản lý dự án, Chiến lược và hoạt động, Lãnh đạo và quản lý, Giao tiếp, Giao tiếp trong kinh doanh, Hợp tác, Phát triển phần mềm linh hoạt, Kỹ thuật phần mềm, Tinh thần kinh doanh, Scrum (Phát triển phần mềm), Lập kế hoạch, Chuỗi cung ứng và hậu cần, Quản lý thay đổi, Tài chính, Phát triển tổ chức, Quản lý sản phẩm, Quản lý rủi ro, Quản lý ngân sách, Gây ảnh hưởng, Văn hóa, Trí tuệ cảm xúc, Quản lý con người, Giải quyết vấn đề, Mua sắm"
IBM Data Science," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, IBM Cloud, Writing",ibm,Unknown,62.39938193343899,Khoa học dữ liệu IBM,"Lập trình Python, Khoa học dữ liệu, Học máy, Phân tích dữ liệu, Thuật toán, Quản lý dữ liệu, Trực quan hóa dữ liệu, Học tập con người, Lập trình R, Lập trình máy tính, Khai thác dữ liệu, Cấu trúc dữ liệu, Quản trị cơ sở dữ liệu, Ứng dụng cơ sở dữ liệu, Lý thuyết cơ sở dữ liệu, Cơ sở dữ liệu, Học sâu, Phân tích dữ liệu khám phá, Thuật toán học máy, Âm mưu (Đồ họa), SQL, Mô hình dữ liệu, Học máy thống kê, Thống kê chung, Xác suất & Thống kê, Hồi quy, Học tăng cường, Lập trình thống kê, Dữ liệu lớn, Điện toán đám mây, Đám mây IBM, Viết"
Google Digital Marketing & E-commerce," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",google,Unknown,62.39938193343899,Tiếp thị kỹ thuật số và thương mại điện tử của Google,"Tiếp thị kỹ thuật số, Tiếp thị, Quản lý tiếp thị, Lập kế hoạch và chiến lược truyền thông, Bán hàng, Thương mại điện tử, Phân tích dữ liệu, Truyền thông xã hội, Tối ưu hóa công cụ tìm kiếm, Quảng cáo, Giao tiếp, Nghiên cứu cá nhân, Chiến lược, Thiết kế web, Phát triển web, Công cụ phát triển web, Viết, Quản lý dữ liệu, Phân tích thị trường"
IBM Data Analyst," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Databases, SQL, Plot (Graphics), Data Management, Data Structures, Exploratory Data Analysis, Machine Learning, Business Analysis, Computer Programming, Database Administration, Database Application, Database Theory, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",ibm,Unknown,62.39938193343899,Nhà phân tích dữ liệu IBM,"Lập trình Python, Microsoft Excel, Trực quan hóa dữ liệu, Phần mềm bảng tính, Phân tích dữ liệu, Cơ sở dữ liệu, SQL, Lô (Đồ họa), Quản lý dữ liệu, Cấu trúc dữ liệu, Phân tích dữ liệu khám phá, Học máy, Phân tích kinh doanh, Lập trình máy tính, Quản trị cơ sở dữ liệu, Ứng dụng cơ sở dữ liệu, Lý thuyết cơ sở dữ liệu, Trực quan hóa thống kê, Khai thác dữ liệu, Khoa học dữ liệu, Thống kê tổng hợp, NoSQL, Lập trình R, Điện toán đám mây, Phần mềm trực quan hóa dữ liệu, Đám mây IBM, Trực quan hóa dữ liệu tương tác, Thuật toán học máy, Xác suất & Thống kê, Hồi quy, Lập trình thống kê"
Google IT Support," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",google,Unknown,62.39938193343899,Hỗ trợ CNTT của Google,"Mạng máy tính, Kiến trúc mạng, Mô hình mạng, Phần cứng mạng, Phân tích mạng, Kiến trúc máy tính, Tư duy phản biện, Giải quyết vấn đề, Giao tiếp, Tương tác giữa con người với máy tính, An ninh mạng, Linux, Bảo mật hệ thống, Điện toán đám mây, Lập trình máy tính, Hỗ trợ khách hàng, Mật mã, Lãnh đạo và Quản lý, Hệ điều hành"
Machine Learning," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Tensorflow, Mathematics, Critical Thinking, Network Model, Reinforcement Learning",multiple educators,Unknown,62.39938193343899,Học máy,"Học máy, Thuật toán học máy, Học máy ứng dụng, Thuật toán, Học sâu, Phần mềm học máy, Mạng thần kinh nhân tạo, Học tập của con người, Lập trình Python, Hồi quy, Học máy thống kê, Tensorflow, Toán học, Tư duy phản biện, Mô hình mạng, Học tăng cường"
Google UX Design," User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools",google,Unknown,62.39938193343899,Thiết kế UX của Google,"Trải nghiệm người dùng, Thiết kế trải nghiệm người dùng, Nghiên cứu người dùng, Kiểm tra, Cộng tác, Tương tác giữa con người với máy tính, Lập kế hoạch, Thiết kế sản phẩm, Phát triển sản phẩm, Truyền thông xã hội, Thiết kế web, Công cụ phát triển web"
IBM DevOps and Software Engineering," DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",ibm,Unknown,62.39938193343899,IBM DevOps và Kỹ thuật phần mềm,"DevOps, Kỹ thuật phần mềm, Điện toán đám mây, Lập trình máy tính, Phát triển ứng dụng, Lập trình Python, Kiến trúc phần mềm, Ứng dụng đám mây, Phân phối liên tục, Tích hợp liên tục, Công cụ kỹ thuật phần mềm, Phát triển phần mềm linh hoạt, Nguyên tắc lập trình, Kỹ thuật bảo mật, Kiểm tra phần mềm, Cơ sở hạ tầng đám mây, Kubernetes, Tích hợp dựa trên đám mây, Vi kiến ​​trúc, Nền tảng đám mây, Truyền thông, Đám mây IBM, Scrum (Phát triển phần mềm), Bảo mật phần mềm, Lưu trữ đám mây, Docker (Phần mềm), Linux, Mạng được xác định bằng phần mềm, Quản lý sản phẩm kỹ thuật, Cộng tác, Lãnh đạo và Quản lý, Phân tích dữ liệu, Sáp nhập & Mua lại"
